Club Name,Rating,Reviews,Price Range,Address,Opening Time,Service Type
Kristal Eğlence Merkezi,3.7,64,"₺1.000,00",Çankırı Cd. No:19/A,19:00,İçeride servis
06 PAVYON,3.6,108,"₺1.000,00",Gazi Mustafa Kemal Bulv. 119/C,20:00,İçeride servis
Mega Show Pavyon Ankara Oyun Havaları,3.9,52,"₺1.000,00",Gazi Mustafa Kemal Blv.,20:00,İçeride servis
Manilya Night Club,3.8,83,,Gazi Mustafa Kemal Blv. No:63,20:00,İçeride servis
Maksim Night Club,4.3,180,,Esat Cd. No:61/1,20:00,İçeride servis
IZABEL Night Club,3.0,42,,Çankırı Cd.,20:00,İçeride servis
Yeni Milano Gazinosu,3.5,47,"₺1.000,00",Yeşilırmak Cd. No:12,20:00,İçeride servis
Nirvana Night Club,4.9,136,"₺1.000,00",Mithatpaşa Cd. 56/D,20:00,İçeride servis
Yalıkent Night Club,3.4,50,,Talatpaşa Blv No:154,20:00,İçeride servis
Valentino Night Club,4.8,27,,Esat Cd. No:53/D,20:00,İçeride servis
Selçuk Eğlence Merkezi,4.5,8,,Çankırı Cd. no:64\c,16:00,
Maks Kübana Eğlence Merkezi,4.4,51,,Çankırı Cd. Yiba Çarşısı D:45/2,20:00,
Tempo Eğlence Merkezi,3.8,32,,Rüzgarlı Cd.,21:00,
Ulus Eğlence Merkezi,3.7,76,,Rüzgarlı Cd.,,İçeride servis
ELHAMRA,2.5,15,,Çankırı Cd.,20:00,İçeride servis
